,City,Location,lon,lat
0,"Austin, TX","(30.2711286, -97.7436995)",30.2711286,-97.7436995
1,"Spicewood, TX","(30.4754724, -98.1564068)",30.4754724,-98.1564068
2,"Round Rock, TX","(30.508235, -97.6788934)",30.508235,-97.6788934
3,"Houston, TX","(29.7589382, -95.3676974)",29.7589382,-95.3676974
4,"Stafford, TX","(29.6160671, -95.5577221)",29.6160671,-95.5577221
5,"Pasadena, TX","(29.6910625, -95.2091006)",29.6910625,-95.2091006
6,"Deer Park, TX","(29.7052284, -95.1238204)",29.7052284,-95.1238204
7,"Sugar Land, TX","(29.6196787, -95.6349463)",29.6196787,-95.6349463
8,"Bellaire, TX","(29.7057858, -95.4588299)",29.7057858,-95.4588299
9,"Pearland, TX","(29.5639758, -95.2864299)",29.5639758,-95.2864299
10,"Spring, TX","(30.0798826, -95.4172549)",30.0798826,-95.4172549
11,"Baytown, TX","(29.7355047, -94.9774274)",29.7355047,-94.9774274
12,"San Francisco, CA","(37.7792808, -122.4192363)",37.7792808,-122.4192363
13,"South San Francisco, CA","(37.6549493, -122.4081251)",37.6549493,-122.4081251
14,"Berkeley, CA","(37.8708393, -122.2728639)",37.8708393,-122.2728639
15,"Redwood City, CA","(37.4863239, -122.2325233)",37.4863239,-122.2325233
16,"Oakland, CA","(37.8044557, -122.2713563)",37.8044557,-122.2713563
17,"San Mateo, CA","(37.496904, -122.3330573)",37.496904,-122.3330573
18,"San Bruno, CA","(37.6304904, -122.4110835)",37.6304904,-122.4110835
19,"Walnut Creek, CA","(37.9063131, -122.064963)",37.9063131,-122.064963
20,"Brisbane, CA","(37.6807661, -122.3999715)",37.6807661,-122.3999715
21,"San Carlos, CA","(37.504936, -122.2618236)",37.504936,-122.2618236
22,"San Ramon, CA","(37.7799273, -121.9780153)",37.7799273,-121.9780153
23,"Sausalito, CA","(37.8590272, -122.4854694)",37.8590272,-122.4854694
24,"Redwood Shores, CA","(37.5318804, -122.2480219)",37.5318804,-122.2480219
25,"San Rafael, CA","(37.9735346, -122.5310874)",37.9735346,-122.5310874
26,"San Leandro, CA","(37.7249296, -122.1560768)",37.7249296,-122.1560768
27,"Foster City, CA","(37.5600336, -122.2688522)",37.5600336,-122.2688522
28,"Benicia, CA","(38.049365, -122.1585777)",38.049365,-122.1585777
29,"San Francisco Bay Area, CA","(37.7884969, -122.3558473)",37.7884969,-122.3558473
30,"Mill Valley, CA","(37.9060368, -122.5449763)",37.9060368,-122.5449763
