,category
43660,0
5405,0
33188,0
71963,1
13979,0
32959,0
1217,0
37085,0
42548,0
68379,1
92365,1
97630,1
48672,0
89635,1
95705,1
27801,0
2242,0
68974,1
93343,1
68132,1
47492,0
20015,0
24762,0
13268,0
80033,1
59363,1
9431,0
94017,1
72500,1
20987,0
72492,1
54837,1
15042,0
33090,0
80049,1
48590,0
44946,0
86988,1
12472,0
7353,0
36732,0
22865,0
33529,0
41977,0
11845,0
11497,0
32392,0
66550,1
44306,0
28704,0
6665,0
73187,1
24292,0
85035,1
96909,1
27164,0
44211,0
35702,0
17248,0
37109,0
16166,0
44036,0
17854,0
44848,0
50685,1
37490,0
75034,1
57977,1
90947,1
2600,0
46291,0
5068,0
61687,1
89425,1
77570,1
13201,0
43129,0
39334,0
19812,0
25308,0
14111,0
25654,0
38718,0
9582,0
90093,1
12021,0
84465,1
92684,1
4608,0
27476,0
15119,0
13257,0
86042,1
39108,0
51736,1
16824,0
49830,0
5058,0
38030,0
75712,1
7985,0
31699,0
62223,1
50270,1
92800,1
33728,0
13942,0
90834,1
80455,1
58761,1
99891,1
44027,0
730,0
75611,1
5602,0
36867,0
41988,0
17686,0
80343,1
25838,0
83391,1
89532,1
42747,0
36856,0
75982,1
76862,1
67883,1
59372,1
36919,0
56581,1
60660,1
1540,0
86784,1
41746,0
44609,0
13072,0
24424,0
97194,1
34386,0
59458,1
51328,1
7579,0
4928,0
93885,1
55769,1
81568,1
53410,1
93806,1
82221,1
36457,0
62537,1
67083,1
56232,1
82912,1
81247,1
83658,1
54441,1
40054,0
38254,0
96269,1
52461,1
906,0
7241,0
19537,0
24257,0
156,0
52546,1
18122,0
77835,1
94903,1
73717,1
49119,0
84176,1
43835,0
47040,0
27911,0
2655,0
27871,0
37666,0
60276,1
79381,1
29774,0
68477,1
72049,1
10176,0
12220,0
88058,1
34,0
25517,0
35139,0
17464,0
86634,1
29324,0
54870,1
15888,0
81121,1
14513,0
65323,1
80333,1
56420,1
66867,1
2332,0
27287,0
58918,1
80764,1
5975,0
31913,0
63740,1
87340,1
58287,1
56996,1
74188,1
70355,1
26315,0
68047,1
45303,0
81810,1
39504,0
9102,0
